UserId	UserIdSecondary	PlayerName	CharacterLevel	GuildName	ClassId	ClassVariant	GearScore	RoleId	Activity1	Activity2	LastOnline	ParsedLastOnline
1884242	1884242	Hideurwives	41		2	7320002	6631	4	30	260	1760029651	2025-10-09 17:07:31
1884924	1884924	Nharryto	42		1	7310002	8122	4	70	110	1760294857	2025-10-12 18:47:37
2050528								4	50	170	1760186371	2025-10-11 12:39:31
2052453	2052453	Aurafarmer	26		1	7310002	3341	4	0	90	1760030943	2025-10-09 17:29:03
2058293	2058293	DeathRose	42		4	7340002	8263	4	70	300	1760053072	2025-10-09 23:37:52
2879625	2879625	Alesk	42		1	7310002	7595	4	50	150	1760226024	2025-10-11 23:40:24
2890675	2890675	Wiliaem	42		5	7350002	6984	4	50	120	1760265412	2025-10-12 10:36:52
3305766	3305766	Rinux	36		1	7310002	5646	4	0	170	1760103002	2025-10-10 13:30:02
4146065	4146065	Venerable	19		4	7340002	1625	4	0	0	1760053155	2025-10-09 23:39:15
4968515	4968515	Infi	38		2	7320002	6584	4	0	0	1760363951	2025-10-13 13:59:11
8821459	8821459	Kito	41		11	7390002	5667	4	0	190	1760114209	2025-10-10 16:36:49
16591577	16591577	Segeking	41		12	7400002	6510	4	30	70	1760295223	2025-10-12 18:53:43
16593076	16593076	Keikikyuu	36		11	7390002	4022	4	0	90	1760145631	2025-10-11 01:20:31
